index,subject,verb,object,start,end,subj_dep,subj_tag,obj_dep,obj_tag,Document,clean_verbs,clean_objs
321360,obama administration,had harmed,legislators,73,102,nsubj,NN,dobj,NNS,9509,harm,legislator
321416,they,forced,woman,420,425,nsubj,PRP,dobj,NN,9510,force,woman
321443,they,hired,journalist,594,605,nsubj,PRP,dobj,NN,9511,hire,journalist
321556,she,approached,professor,1216,1220,nsubj,PRP,dobj,NN,9513,approach,professor
321685,that,forces,women,37,45,nsubj,WDT,dobj,NNS,9514,force,woman
322083,they,held,brains,683,700,nsubj,PRP,dobj,NNS,9522,hold,brain
322561,he,alienated,supporters,480,514,nsubj,PRP,dobj,NNS,9535,alienate,supporter
322727,we,don't need,hero,992,1001,nsubj,PRP,dobj,NN,9539,need,hero
322794,this,did not dissuade,republicans,670,675,nsubj,DT,dobj,NNPS,9542,dissuade,republican
322943,president,called,son,1143,1150,nsubj,NN,dobj,NN,9546,call,son
323109,us,would consider,terrorists,1637,1659,nsubj,NNP,dobj,NNS,9547,consider,terrorist
323156,that,killed,americans,498,520,nsubj,WDT,dobj,NNPS,9548,kill,american
323159,state department,asked,secretaries,557,564,nsubj,NNP,dobj,NNS,9548,ask,secretary
323196,aversion,leads,opponents,1243,1256,nsubj,NN,dobj,NNS,9548,lead,opponent
323213,officials,used,server,1643,1666,nsubj,NNS,dobj,NN,9548,use,server
323561,pkk,killed,police officers,369,379,nsubj,NNP,dobj,NNS,9556,kill,police officer
323587,akp,supports,enemy,1228,1234,nsubj,NNP,dobj,NN,9556,support,enemy
323654,many,following,organizers,614,629,nsubj,JJ,dobj,NNS,9558,follow,organizer
323662,powers,attacked,citizens,806,835,nsubj,NNS,dobj,NNS,9558,attack,citizen
323912,pkk,killed,police officers,466,484,nsubj,NNP,dobj,NNS,9564,kill,police officer
324155,doctors,can evaluate,patients,2768,2792,nsubj,NNS,dobj,NNS,9568,evaluate,patient
324156,professionals,can evaluate,patients,2768,2792,conj,NNS,dobj,NNS,9568,evaluate,patient
324166,hundreds,leave,students,151,159,nsubj,NNS,dobj,NNS,9569,leave,student
324243,i,invited,friends,658,663,nsubj,PRP,dobj,NNS,9570,invite,friend
324395,regime,courted,allies,785,793,nsubj,NN,dobj,NNS,9574,court,ally
324554,that,serve,patients,0,26,nsubj,WDT,dobj,NNS,9575,serve,patient
324578,that,serve,patients,1003,1023,nsubj,WDT,dobj,NNS,9575,serve,patient
324827,travis,watches,neighbor,1085,1090,nsubj,NNP,dobj,NN,9580,watch,neighbor
324899,they,find,ground,726,745,nsubj,PRP,dobj,NN,9582,find,grind
324994,that,encourage,students,142,154,nsubj,WDT,dobj,NNS,9587,encourage,student
325040,he,'s attracting,supporters,182,185,nsubj,PRP,dobj,NNS,9589,attract,supporter
325351,stanley,treated,person,746,772,nsubj,NNP,dobj,NN,9599,treat,person
325383,he,interrupted,friend,1536,1542,nsubj,PRP,dobj,NN,9599,interrupt,friend
325504,i,couldn't find,expert,675,695,nsubj,PRP,dobj,NN,9603,find,expert
325974,who,killed,victim,189,197,nsubj,WP,dobj,NN,9618,kill,victim
325993,debt colleges,leave,students,792,804,nsubj,NNS,dobj,NNS,9618,leave,student
325994,some,leave,students,792,822,nsubj,DT,dobj,NNS,9618,leave,student
326055,letter,asks,students,307,312,nsubj,NN,dobj,NNS,9620,ask,student
326060,texas school,would arrest,student,78,90,nsubj,NN,dobj,NN,9621,arrest,student
326153,who,likes,college students,2860,2879,nsubj,WP,dobj,NNS,9621,like,college student
326157,hashtag,asked,americans,2952,2955,nsubj,NN,dobj,NNPS,9621,ask,american
326160,that,led,teachers,3007,3014,nsubj,WDT,dobj,NNS,9621,lead,teacher
326241,we,'re arresting,child,267,311,nsubj,PRP,dobj,NN,9623,arrest,child
326470,that,exonerates,defendant,2058,2088,nsubj,WDT,dobj,NN,9630,exonerate,defendant
326489,we,should inspire,kids,15,19,nsubj,PRP,dobj,NNS,9631,inspire,kid
326492,we,should inspire,kids,101,106,nsubj,PRP,dobj,NNS,9631,inspire,kid
326599,she,called,principal,167,183,nsubj,PRP,dobj,NN,9634,call,principal
326689,he,needed,defense attorney,456,475,nsubj,PRP,dobj,NN,9638,need,defense attorney
326702,police officers,arrested,student,0,16,nsubj,NNS,dobj,NN,9639,arrest,student
326708,school resource officers,questioned,student,156,161,nsubj,NNS,dobj,NN,9639,question,student
326742,we,should inspire,kids,230,234,nsubj,PRP,dobj,NNS,9641,inspire,kid
326963,consultants,train,teachers,371,373,nsubj,NNS,dobj,NNS,9645,train,teacher
326965,that,asked,students,393,412,nsubj,WDT,dobj,NNS,9645,ask,student
326998,fifteen,killed,person,1244,1252,nsubj,CD,dobj,NN,9645,kill,person
327053,groups,used,women,284,290,nsubj,NNS,dobj,NNS,9647,use,woman
327330,that,encourages,parents,191,219,nsubj,WDT,dobj,NNS,9662,encourage,parent
327418,that,thrill,conservatives,1401,1422,nsubj,WDT,dobj,NNS,9665,thrill,conservative
327420,that,favors,outsiders,1542,1552,nsubj,WDT,dobj,NNS,9665,favor,outsider
327455,he,had paid,children,891,935,nsubj,PRP,dobj,NNS,9666,pay,child
327667,trump,is scaring,politicians,1763,1769,nsubj,NNP,dobj,NNS,9670,scare,politician
327740,which,might have confused,followers,236,250,nsubj,WDT,dobj,NNS,9672,confuse,follower
